Index,Cement (kg/m3),SF (kg/m3),BFS (kg/m3),FA (kg/m3),QP (kg/m3),LSP (kg/m3),NS (kg/m3),Fiber (kg/m3),Sand (kg/m3),Gravel (kg/m3),Water (kg/m3),SP (kg/m3),T (oC),RH (%),Age (days),Unnamed: 16,fc (MPa)
190,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,56,,129.3
191,958.55,50.45,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,56,,129.0
192,756.75,50.45,0.0,201.8,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,56,,131.7
193,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,114.1
194,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,118.1
195,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,125.4
196,801.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,127.6
197,756.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,120.9
198,712.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,118.6
199,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,126.2
200,712.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,117.5
201,623.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,119.3
202,534.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,119.1
203,667.5,44.5,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,90,,119.7
204,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,90,,139.3
205,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,90,,149.7
206,958.55,50.45,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,90,,155.2
207,756.75,50.45,0.0,201.8,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,90,,152.1
208,472.0,262.0,315.0,0.0,0.0,0.0,0.0,0.0,1049.0,0,178.0,21.0,20,100,7,,94.3
209,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,7,,114.9
210,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,7,,120.9
211,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,7,,108.3
212,472.0,262.0,315.0,0.0,0.0,0.0,0.0,0.0,1049.0,0,178.0,21.0,20,100,28,,97.8
213,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,28,,134.4
214,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,28,,143.5
215,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,28,,127.4
216,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,28,,122.9
217,472.0,262.0,315.0,0.0,0.0,0.0,0.0,156.0,1049.0,0,178.0,21.0,20,100,28,,120.4
218,850.0,137.5,0.0,112.5,0.0,0.0,0.0,234.0,1100.0,0,176.0,8.0,23,100,28,,162.1
